nvar,r,d,het,iter,alpha,strategy,p1,p2,p3,p4,p5
123,0.1,0,0,10000,0.05,3,19.1265060240964,19.6686746987952,20.4718875502008,19.9196787148594,20.8132530120482
125,0.1,0,0,10000,0.05,1,68.4363709353673,21.7683661180249,6.77438779606584,2.23805700521879,0.782818145323163
125,0.1,0,0,10000,0.05,2,68.4363709353673,21.7683661180249,6.77438779606584,2.23805700521879,0.782818145323163
125,0.1,0,0,10000,0.05,3,19.4600562023284,20.0521878763549,20.2930549979928,20.0120433560819,20.1826575672421
127,0.1,0,0,10000,0.05,1,68.9662087636619,20.8563120425148,7.0490323874461,2.44660583575654,0.681840970620676
127,0.1,0,0,10000,0.05,2,68.9662087636619,20.8563120425148,7.0490323874461,2.44660583575654,0.681840970620676
127,0.1,0,0,10000,0.05,3,19.2820615662288,19.7533340018049,20.5554998495939,19.562819612955,20.8462849694174
129,0.1,0,0,10000,0.05,1,67.9638916750251,22.2066198595787,6.84052156469408,2.31695085255767,0.672016048144433
129,0.1,0,0,10000,0.05,2,67.9638916750251,22.2066198595787,6.84052156469408,2.31695085255767,0.672016048144433
129,0.1,0,0,10000,0.05,3,19.1273821464393,20.8625877632899,19.9297893681043,20.1203610832497,19.9598796389167
131,0.1,0,0,10000,0.05,1,70.125313283208,20.7117794486216,6.81704260651629,1.82456140350877,0.521303258145363
131,0.1,0,0,10000,0.05,2,70.125313283208,20.7117794486216,6.81704260651629,1.82456140350877,0.521303258145363
131,0.1,0,0,10000,0.05,3,18.8170426065163,20.0401002506266,19.8997493734336,20.8020050125313,20.4411027568922
133,0.1,0,0,10000,0.05,1,70.564637448601,20.1283722796109,6.56905024571257,2.06599137498746,0.671948651088156
133,0.1,0,0,10000,0.05,2,70.564637448601,20.1283722796109,6.56905024571257,2.06599137498746,0.671948651088156
133,0.1,0,0,10000,0.05,3,19.6770634841039,20.0882559422325,20.1985758700231,19.8676160866513,20.1684886169893
135,0.1,0,0,10000,0.05,1,71.070820394671,20.204347390564,6.06030251427427,2.13362716618251,0.530902534308324
135,0.1,0,0,10000,0.05,2,71.070820394671,20.204347390564,6.06030251427427,2.13362716618251,0.530902534308324
135,0.1,0,0,10000,0.05,3,19.2527296403887,19.5732745667635,20.2945006511069,20.6350796353801,20.2444155063608
137,0.1,0,0,10000,0.05,1,71.3082706766917,20.0802005012531,5.92481203007519,2.07518796992481,0.611528822055138
137,0.1,0,0,10000,0.05,2,71.3082706766917,20.0802005012531,5.92481203007519,2.07518796992481,0.611528822055138
