prop_Hacker,prop_H1,nmin,nmax,stepsize,d,het,p1,p2,p3,p4,p5,k_sig,k
0.75,0,8,22,10,0,0,0.153932584269663,0.193258426966292,0.18876404494382,0.210112359550562,0.253932584269663,890,10000
1,0,8,22,10,0,0,0.148075024679171,0.194471865745311,0.18756169792695,0.210266535044422,0.259624876604146,1013,10000
0.1,0,8,50,10,0,0,0.165016501650165,0.212871287128713,0.184818481848185,0.202970297029703,0.234323432343234,606,10000
0.25,0,8,50,10,0,0,0.150610583446404,0.198100407055631,0.200814111261872,0.211668928086839,0.238805970149254,737,10000
0.5,0,8,50,10,0,0,0.153846153846154,0.183198380566802,0.201417004048583,0.20748987854251,0.254048582995951,988,10000
0.75,0,8,50,10,0,0,0.132075471698113,0.188679245283019,0.193396226415094,0.215408805031447,0.270440251572327,1272,10000
1,0,8,50,10,0,0,0.127213114754098,0.184262295081967,0.196065573770492,0.217049180327869,0.275409836065574,1525,10000
0.1,0,22,50,10,0,0,0.171477079796265,0.222410865874363,0.178268251273345,0.191850594227504,0.235993208828523,589,10000
0.25,0,22,50,10,0,0,0.164383561643836,0.187214611872146,0.19634703196347,0.223744292237443,0.228310502283105,657,10000
0.5,0,22,50,10,0,0,0.158914728682171,0.195090439276486,0.200258397932817,0.20671834625323,0.239018087855297,774,10000
0.75,0,22,50,10,0,0,0.140740740740741,0.205291005291005,0.191534391534392,0.226455026455026,0.235978835978836,945,10000
1,0,22,50,10,0,0,0.128298453139217,0.192902638762511,0.198362147406733,0.225659690627844,0.254777070063694,1099,10000
0.1,0,8,177,10,0,0,0.154829545454545,0.177556818181818,0.228693181818182,0.213068181818182,0.225852272727273,704,10000
0.25,0,8,177,10,0,0,0.120689655172414,0.172413793103448,0.216024340770791,0.226166328600406,0.264705882352941,986,10000
0.5,0,8,177,10,0,0,0.102249488752556,0.153374233128834,0.203817314246762,0.243353783231084,0.297205180640763,1467,10000
0.75,0,8,177,10,0,0,0.0898477157360406,0.148223350253807,0.201522842639594,0.248223350253807,0.312182741116751,1970,10000
1,0,8,177,10,0,0,0.0803535556448373,0.144636400160707,0.204499799116111,0.247488951386099,0.323021293692246,2489,10000
0.1,0,22,177,10,0,0,0.166180758017493,0.166180758017493,0.206997084548105,0.198250728862974,0.262390670553936,686,10000
0.25,0,22,177,10,0,0,0.136818687430478,0.173526140155729,0.182424916573971,0.233592880978865,0.273637374860957,899,10000
0.5,0,22,177,10,0,0,0.106072252113759,0.158339738662567,0.196003074558032,0.244427363566487,0.295157571099155,1301,10000
0.75,0,22,177,10,0,0,0.0936947554507955,0.144961697112552,0.190925162050678,0.252799057159694,0.317619328226282,1697,10000
1,0,22,177,10,0,0,0.0774681152574398,0.13556920170052,0.18705715635333,0.259329239489844,0.340576287198866,2117,10000
0.1,0,50,177,10,0,0,0.175986842105263,0.202302631578947,0.179276315789474,0.195723684210526,0.246710526315789,608,10000
0.25,0,50,177,10,0,0,0.144356955380577,0.170603674540682,0.179790026246719,0.229658792650919,0.275590551181102,762,10000
0.5,0,50,177,10,0,0,0.084985835694051,0.135033050047214,0.201133144475921,0.257790368271955,0.321057601510859,1059,10000
0.75,0,50,177,10,0,0,0.0755265068990559,0.134350036310821,0.188090050835149,0.273057371096587,0.328976034858388,1377,10000
1,0,50,177,10,0,0,0.0648259303721489,0.12484993997599,0.189675870348139,0.274909963985594,0.345738295318127,1666,10000
0.1,0,8,444,10,0,0,0.128777923784494,0.185282522996058,0.191852825229961,0.216819973718791,0.277266754270697,761,10000
0.25,0,8,444,10,0,0,0.102608695652174,0.151304347826087,0.187826086956522,0.242608695652174,0.315652173913044,1150,10000
0.5,0,8,444,10,0,0,0.0800220750551877,0.123620309050773,0.178256070640177,0.262141280353201,0.355960264900662,1812,10000
0.75,0,8,444,10,0,0,0.0737770649558942,0.122293504410585,0.17401764234162,0.26102646351243,0.368885324779471,2494,10000
1,0,8,444,10,0,0,0.063287153652393,0.115869017632242,0.17852644836272,0.261335012594458,0.380982367758186,3176,10000
0.1,0,22,444,10,0,0,0.158469945355191,0.184426229508197,0.16120218579235,0.206284153005464,0.289617486338798,732,10000
0.25,0,22,444,10,0,0,0.108058608058608,0.139194139194139,0.185897435897436,0.244505494505495,0.322344322344322,1092,10000
0.5,0,22,444,10,0,0,0.0835875533862111,0.118974984746797,0.175106772422209,0.2568639414277,0.365466748017084,1639,10000
0.75,0,22,444,10,0,0,0.0673205528310299,0.115916183682568,0.176995095853767,0.264823896567098,0.374944271065537,2243,10000
1,0,22,444,10,0,0,0.0575035063113605,0.10413744740533,0.169705469845722,0.267882187938289,0.400771388499299,2852,10000
0.1,0,50,444,10,0,0,0.164978292329957,0.15629522431259,0.196816208393632,0.22575976845152,0.256150506512301,691,10000
0.25,0,50,444,10,0,0,0.105590062111801,0.128364389233954,0.184265010351967,0.237060041407868,0.34472049689441,966,10000
0.5,0,50,444,10,0,0,0.0728155339805825,0.0977808599167822,0.181692094313454,0.261442441054092,0.38626907073509,1442,10000
0.75,0,50,444,10,0,0,0.0495611770779556,0.0980898296334538,0.165203923593185,0.283427981414559,0.403717088280847,1937,10000
1,0,50,444,10,0,0,0.0441537203597711,0.0887162714636141,0.165576451349141,0.292722812755519,0.408830744071954,2446,10000
0.1,0,177,444,10,0,0,0.136963696369637,0.173267326732673,0.188118811881188,0.255775577557756,0.245874587458746,606,10000
0.25,0,177,444,10,0,0,0.126923076923077,0.133333333333333,0.176923076923077,0.246153846153846,0.316666666666667,780,10000
0.5,0,177,444,10,0,0,0.105054509415263,0.111000991080278,0.159563924677899,0.250743310208127,0.373637264618434,1009,10000
0.75,0,177,444,10,0,0,0.0795366795366795,0.0818532818532819,0.135135135135135,0.272586872586873,0.430888030888031,1295,10000
